gene,CHR,GENE,START,END,N_SNPS,start_idx_chr,end_idx_chr,chr_start_idx_gw
ADH1A,4,ADH1A,100197523,100212142,4,15990,15993,110810
ADH1B,4,ADH1B,100227526,100242572,5,15996,16000,110810
ADH1C,4,ADH1C,100257648,100273917,4,16005,16008,110810
ADH7,4,ADH7,100333417,100356525,8,16019,16026,110810
C4orf17,4,C4orf17,100432199,100463460,11,16036,16046,110810
MTTP,4,MTTP,100485239,100545154,10,16048,16057,110810
DAPP1,4,DAPP1,100737980,100791346,10,16085,16094,110810
H2AFZ,4,H2AFZ,100869243,100871512,2,16096,16097,110810
DDIT4L,4,DDIT4L,101107026,101111613,4,16129,16132,110810
EMCN,4,EMCN,101318983,101439179,13,16182,16194,110810
PPP3CA,4,PPP3CA,101944586,102268353,43,16258,16300,110810
BANK1,4,BANK1,102711763,102995969,35,16358,16392,110810
SLC39A8,4,SLC39A8,103182820,103266348,19,16422,16440,110810
NFKB1,4,NFKB1,103422485,103538459,13,16465,16477,110810
MANBA,4,MANBA,103552642,103682151,18,16480,16497,110810
UBE2D3,4,UBE2D3,103717132,103790032,8,16501,16508,110810
NHEDC1,4,NHEDC1,103806206,103940876,5,16510,16514,110810
NHEDC2,4,NHEDC2,103947345,103997930,5,16518,16522,110810
BDH2,4,BDH2,103998781,104021024,6,16523,16528,110810
CENPE,4,CENPE,104026962,104119566,8,16531,16538,110810
TACR3,4,TACR3,104510624,104640973,19,16590,16608,110810
TET2,4,TET2,106067942,106200958,20,16769,16788,110810
PPA2,4,PPA2,106290233,106395227,49,16800,16848,110810
FLJ20184,4,FLJ20184,106473776,106552837,35,16873,16907,110810
INTS12,4,INTS12,106603784,106629829,6,16922,16927,110810
GSTCD,4,GSTCD,106629940,106768882,27,16928,16954,110810
NPNT,4,NPNT,106816604,106892828,44,16963,17006,110810
MGC16169,4,MGC16169,106967237,107237385,19,17019,17037,110810
SCYE1,4,SCYE1,107237674,107269572,2,17038,17039,110810
DKK2,4,DKK2,107842958,107957453,18,17109,17126,110810
PAPSS1,4,PAPSS1,108534821,108641419,21,17210,17230,110810
CYP2U1,4,CYP2U1,108852716,108874613,3,17254,17256,110810
HADH,4,HADH,108910939,108956331,7,17261,17267,110810
LEF1,4,LEF1,108968700,109089578,13,17272,17284,110810
AGXT2L1,4,AGXT2L1,109663201,109684209,2,17391,17392,110810
COL25A1,4,COL25A1,109734971,110223799,89,17404,17492,110810
SEC24B,4,SEC24B,110354970,110461615,8,17501,17508,110810
CCDC109B,4,CCDC109B,110481354,110608872,15,17509,17523,110810
CASP6,4,CASP6,110609784,110624629,2,17524,17525,110810
PLA2G12A,4,PLA2G12A,110634689,110651211,4,17526,17529,110810
CFI,4,CFI,110661847,110723335,15,17534,17548,110810
RRH,4,RRH,110749149,110765861,2,17551,17552,110810
LRIT3,4,LRIT3,110772485,110793471,8,17554,17561,110810
EGF,4,EGF,110834039,110933421,18,17567,17584,110810
ELOVL6,4,ELOVL6,110970542,111119771,45,17590,17634,110810
ENPEP,4,ENPEP,111397228,111484493,19,17689,17707,110810
C4orf16,4,C4orf16,113152894,113191211,6,17928,17933,110810
ALPK1,4,ALPK1,113218498,113363764,39,17937,17975,110810
NEUROG2,4,NEUROG2,113434671,113437328,2,17984,17985,110810
LOC91431,4,LOC91431,113460499,113508807,6,17989,17994,110810
C4orf21,4,C4orf21,113510785,113558056,6,17995,18000,110810
LARP7,4,LARP7,113558119,113578742,3,18001,18003,110810
ANK2,4,ANK2,113739238,114304896,135,18019,18153,110810
CAMK2D,4,CAMK2D,114373571,114682728,45,18175,18219,110810
ARSJ,4,ARSJ,114821439,114900878,10,18237,18246,110810
UGT8,4,UGT8,115519610,115598202,7,18324,18330,110810
NDST4,4,NDST4,115748926,116035032,31,18356,18386,110810
NDST3,4,NDST3,118955499,119177018,26,18705,18730,110810
PRSS12,4,PRSS12,119202416,119273922,13,18735,18747,110810
KIAA1627,4,KIAA1627,119606573,119632077,3,18767,18769,110810
SEC24D,4,SEC24D,119643977,119757326,16,18770,18785,110810
SYNPO2,4,SYNPO2,119809995,119982402,39,18794,18832,110810
MYOZ2,4,MYOZ2,120056938,120108937,4,18845,18848,110810
USP53,4,USP53,120133781,120216673,7,18853,18859,110810
FABP2,4,FABP2,120238404,120243316,2,18862,18863,110810
PDE5A,4,PDE5A,120415549,120549981,17,18882,18898,110810
MAD2L1,4,MAD2L1,120980589,120987963,2,18956,18957,110810
PRDM5,4,PRDM5,121615928,121844013,25,19029,19053,110810
C4orf31,4,C4orf31,121956781,121993673,14,19062,19075,110810
TNIP3,4,TNIP3,122052563,122137655,12,19092,19103,110810
GPR103,4,GPR103,122249796,122302181,13,19129,19141,110810
ANXA5,4,ANXA5,122589151,122618147,9,19198,19206,110810
EXOSC9,4,EXOSC9,122722471,122738176,2,19222,19223,110810
BBS7,4,BBS7,122745634,122791642,3,19225,19227,110810
TRPC3,4,TRPC3,122800431,122854611,6,19229,19234,110810
KIAA1109,4,KIAA1109,123091757,123283907,14,19272,19285,110810
ADAD1,4,ADAD1,123300167,123350939,4,19288,19291,110810
BBS12,4,BBS12,123653856,123666098,4,19333,19336,110810
FGF2,4,FGF2,123747862,123819390,16,19342,19357,110810
NUDT6,4,NUDT6,123813798,123844123,5,19358,19362,110810
SPATA5,4,SPATA5,123844224,124240604,36,19363,19398,110810
ANKRD50,4,ANKRD50,125585465,125631932,6,19613,19618,110810
FAT4,4,FAT4,126237566,126414087,33,19698,19730,110810
INTU,4,INTU,128554119,128637930,8,20024,20031,110810
SLC25A31,4,SLC25A31,128651573,128695447,2,20032,20033,110810
HSPA4L,4,HSPA4L,128703452,128754526,5,20034,20038,110810
MFSD8,4,MFSD8,128841576,128887104,2,20045,20046,110810
C4orf29,4,C4orf29,128886460,128952455,6,20047,20052,110810
LARP2,4,LARP2,128982502,129132289,8,20057,20064,110810
PGRMC2,4,PGRMC2,129191296,129208948,2,20071,20072,110810
PHF17,4,PHF17,129730778,129796379,10,20177,20186,110810
SCLT1,4,SCLT1,129805151,130014764,16,20189,20204,110810
C4orf33,4,C4orf33,130014828,130033843,4,20205,20208,110810
PCDH10,4,PCDH10,134070469,134112732,7,20643,20649,110810
PABPC4L,4,PABPC4L,135117488,135122903,3,20746,20748,110810
PCDH18,4,PCDH18,138440071,138453629,2,21206,21207,110810
SLC7A11,4,SLC7A11,139085247,139163503,14,21287,21300,110810
CCRN4L,4,CCRN4L,139936942,139967093,2,21468,21469,110810
ELF2,4,ELF2,139978870,140060606,7,21471,21477,110810
NARG1,4,NARG1,140222675,140311935,8,21492,21499,110810
SETD7,4,SETD7,140427191,140477577,13,21509,21521,110810
MGST2,4,MGST2,140586921,140625406,13,21555,21567,110810
MAML3,4,MAML3,140637545,141075233,126,21569,21694,110810
SCOC,4,SCOC,141178439,141303704,14,21715,21728,110810
CLGN,4,CLGN,141309606,141348782,7,21730,21736,110810
UCP1,4,UCP1,141481049,141490007,2,21748,21749,110810
TBC1D9,4,TBC1D9,141541935,141677471,26,21764,21789,110810
RNF150,4,RNF150,141786724,142054616,60,21808,21867,110810
ZNF330,4,ZNF330,142142048,142155850,2,21878,21879,110810
IL15,4,IL15,142557753,142654612,12,21931,21942,110810
INPP4B,4,INPP4B,142949181,143767604,112,21984,22095,110810
USP38,4,USP38,144106097,144142640,5,22119,22123,110810
GAB1,4,GAB1,144258049,144391279,20,22135,22154,110810
SMARCA5,4,SMARCA5,144434615,144474567,6,22163,22168,110810
GYPE,4,GYPE,144792018,144826716,2,22209,22210,110810
GYPA,4,GYPA,145030455,145061904,3,22233,22235,110810
HHIP,4,HHIP,145567172,145659881,34,22338,22371,110810
ANAPC10,4,ANAPC10,145916309,146019368,10,22391,22400,110810
ABCE1,4,ABCE1,146019155,146050676,2,22401,22402,110810
OTUD4,4,OTUD4,146054801,146100832,8,22403,22410,110810
SMAD1,4,SMAD1,146402950,146480325,8,22461,22468,110810
MMAA,4,MMAA,146540539,146581187,4,22481,22484,110810
LOC646603,4,LOC646603,146601355,146653948,6,22491,22496,110810
ZNF827,4,ZNF827,146681887,146859607,32,22502,22533,110810
LSM6,4,LSM6,147096834,147111213,2,22586,22587,110810
SLC10A7,4,SLC10A7,147176177,147443085,26,22599,22624,110810
TTC29,4,TTC29,147628178,147867034,24,22648,22671,110810
EDNRA,4,EDNRA,148401906,148466106,7,22738,22744,110810
LOC90826,4,LOC90826,148559532,148605280,3,22760,22762,110810
ARHGAP10,4,ARHGAP10,148653452,148993927,61,22772,22832,110810
NR3C2,4,NR3C2,148999914,149363643,69,22835,22903,110810
DCLK2,4,DCLK2,151000079,151178608,25,23103,23127,110810
LRBA,4,LRBA,151185595,151936879,95,23129,23223,110810
SH3D19,4,SH3D19,152041432,152147660,12,23227,23238,110810
ESSPL,4,ESSPL,152198324,152212605,3,23245,23247,110810
FAM160A1,4,FAM160A1,152330397,152584784,21,23262,23282,110810
PET112L,4,PET112L,152592000,152682146,9,23283,23291,110810
FBXW7,4,FBXW7,153242409,153456172,22,23404,23425,110810
TMEM154,4,TMEM154,153547270,153601191,15,23441,23455,110810
ARFIP1,4,ARFIP1,153701111,153833063,14,23484,23497,110810
FHDC1,4,FHDC1,153864134,153900848,18,23500,23517,110810
TRIM2,4,TRIM2,154074269,154260474,33,23574,23606,110810
MND1,4,MND1,154265800,154336243,10,23608,23617,110810
KIAA0922,4,KIAA0922,154387497,154557862,56,23624,23679,110810
TLR2,4,TLR2,154605440,154627242,4,23691,23694,110810
RNF175,4,RNF175,154631311,154681387,7,23696,23702,110810
SFRP2,4,SFRP2,154701741,154710228,4,23705,23708,110810
DCHS2,4,DCHS2,155155687,155312449,43,23781,23823,110810
FGB,4,FGB,155484131,155492238,2,23867,23868,110810
FGA,4,FGA,155504279,155511897,4,23869,23872,110810
FGG,4,FGG,155525285,155533902,3,23877,23879,110810
RBM46,4,RBM46,155702499,155749965,3,23910,23912,110810
MAP9,4,MAP9,156263811,156298122,10,24003,24012,110810
GUCY1A3,4,GUCY1A3,156587877,156651776,20,24068,24087,110810
GUCY1B3,4,GUCY1B3,156680214,156728056,14,24095,24108,110810
ACCN5,4,ACCN5,156750880,156787425,6,24115,24120,110810
TDO2,4,TDO2,156824846,156841550,5,24126,24130,110810
CTSO,4,CTSO,156845269,156875048,6,24132,24137,110810
PDGFC,4,PDGFC,157682763,157892546,21,24278,24298,110810
GLRB,4,GLRB,157997276,158093242,15,24318,24332,110810
GRIA2,4,GRIA2,158141735,158287226,16,24341,24356,110810
C4orf18,4,C4orf18,159045731,159094202,3,24469,24471,110810
TMEM144,4,TMEM144,159131675,159176436,10,24480,24489,110810
RXFP1,4,RXFP1,159443046,159573263,14,24530,24543,110810
ETFDH,4,ETFDH,159593276,159629841,6,24546,24551,110810
PPID,4,PPID,159630278,159644552,3,24552,24554,110810
FNIP2,4,FNIP2,159690181,159827954,11,24560,24570,110810
C4orf45,4,C4orf45,159814683,159956333,21,24570,24590,110810
RAPGEF2,4,RAPGEF2,160188997,160281301,11,24614,24624,110810
FSTL5,4,FSTL5,162305048,163085186,106,24927,25032,110810
NAF1,4,NAF1,164047859,164088073,5,25197,25201,110810
C4orf43,4,C4orf43,164415672,164441691,3,25244,25246,110810
MARCH1,4,MARCH1,164449048,164534776,19,25249,25267,110810
ANP32C,4,ANP32C,165118158,165118863,2,25366,25367,110810
TRIM61,4,TRIM61,165875597,165898818,3,25531,25533,110810
TMEM192,4,TMEM192,165997229,166034024,9,25550,25558,110810
KLHL2,4,KLHL2,166128790,166244299,6,25575,25580,110810
SC4MOL,4,SC4MOL,166248817,166264225,5,25582,25586,110810
CPE,4,CPE,166300096,166419482,26,25591,25616,110810
TLL1,4,TLL1,166794409,167024993,51,25696,25746,110810
SPOCK3,4,SPOCK3,167654535,168155741,82,25843,25924,110810
ANXA10,4,ANXA10,169013706,169108893,14,26060,26073,110810
DDX60,4,DDX60,169137446,169239898,15,26075,26089,110810
DDX60L,4,DDX60L,169277885,169401638,28,26096,26123,110810
PALLD,4,PALLD,169418216,169849608,123,26128,26250,110810
CBR4,4,CBR4,169908741,169931422,3,26256,26258,110810
SH3RF1,4,SH3RF1,170015406,170192249,25,26290,26314,110810
NEK1,4,NEK1,170314428,170533614,18,26324,26341,110810
CLCN3,4,CLCN3,170541721,170642157,12,26343,26354,110810
C4orf27,4,C4orf27,170650618,170679093,5,26356,26360,110810
MFAP3L,4,MFAP3L,170907747,170947429,5,26406,26410,110810
AADAT,4,AADAT,170981372,171011372,6,26415,26420,110810
GALNT17,4,GALNT17,172734574,173961558,165,26637,26801,110810
GALNT7,4,GALNT7,174089903,174245118,21,26819,26839,110810
FBXO8,4,FBXO8,175157809,175205402,7,27035,27041,110810
KIAA1712,4,KIAA1712,175204859,175241482,5,27042,27046,110810
HPGD,4,HPGD,175411379,175443611,9,27068,27076,110810
GLRA3,4,GLRA3,175563197,175750465,34,27102,27135,110810
ADAM29,4,ADAM29,175839558,175899331,7,27150,27156,110810
GPM6A,4,GPM6A,176554087,176923648,78,27246,27323,110810
WDR17,4,WDR17,176987131,177103966,13,27335,27347,110810
SPATA4,4,SPATA4,177105724,177116822,3,27348,27350,110810
ASB5,4,ASB5,177134827,177190275,12,27359,27370,110810
SPCS3,4,SPCS3,177241131,177249502,2,27389,27390,110810
VEGFC,4,VEGFC,177604690,177713895,20,27470,27489,110810
NEIL3,4,NEIL3,178230990,178284092,18,27588,27605,110810
AGA,4,AGA,178351923,178363591,5,27628,27632,110810
LOC285501,4,LOC285501,178649906,178911669,42,27666,27707,110810
ODZ3,4,ODZ3,183245136,183724177,145,28714,28858,110810
DCTD,4,DCTD,183811243,183838630,11,28896,28906,110810
WWC2,4,WWC2,184020462,184241929,34,28938,28971,110810
ING2,4,ING2,184426219,184432249,2,29039,29040,110810
RWDD4A,4,RWDD4A,184560788,184580331,10,29101,29110,110810
C4orf41,4,C4orf41,184580445,184634745,11,29111,29121,110810
STOX2,4,STOX2,184826508,184938875,41,29177,29217,110810
ENPP6,4,ENPP6,185009858,185139019,35,29234,29268,110810
IRF2,4,IRF2,185308875,185395726,35,29330,29364,110810
CASP3,4,CASP3,185548849,185570629,6,29407,29412,110810
CCDC111,4,CCDC111,185570766,185616112,9,29413,29421,110810
MLF1IP,4,MLF1IP,185615235,185655286,10,29421,29430,110810
ACSL1,4,ACSL1,185676748,185747215,20,29439,29458,110810
KIAA1430,4,KIAA1430,186080818,186125182,5,29568,29572,110810
SNX25,4,SNX25,186131283,186285120,22,29575,29596,110810
LOC441054,4,LOC441054,186350544,186370821,3,29601,29603,110810
CCDC110,4,CCDC110,186366346,186392869,15,29603,29617,110810
PDLIM3,4,PDLIM3,186422850,186456712,8,29625,29632,110810
SORBS2,4,SORBS2,186506597,186877522,147,29646,29792,110810
TLR3,4,TLR3,186990308,187006252,9,29840,29848,110810
FAM149A,4,FAM149A,187065994,187093817,8,29863,29870,110810
CYP4V2,4,CYP4V2,187112673,187134617,9,29876,29884,110810
KLKB1,4,KLKB1,187148671,187179625,7,29887,29893,110810
F11,4,F11,187187117,187210835,6,29898,29903,110810
MTNR1A,4,MTNR1A,187454808,187476537,7,29973,29979,110810
FAT,4,FAT,187508936,187644987,58,29990,30047,110810
ZFP42,4,ZFP42,188916924,188926199,2,30354,30355,110810
TRIML1,4,TRIML1,189060597,189068649,5,30411,30415,110810
FRG1,4,FRG1,190861973,190884359,2,30885,30886,110810
PLEKHG4B,5,PLEKHG4B,140372,190087,21,18,38,141699
CCDC127,5,CCDC127,204874,218297,3,45,47,141699
SDHA,5,SDHA,218355,256814,4,48,51,141699
PDCD6,5,PDCD6,271735,315089,3,54,56,141699
AHRR,5,AHRR,304290,438405,29,54,82,141699
LOC116349,5,LOC116349,441642,443210,2,83,84,141699
EXOC3,5,EXOC3,443333,467409,7,85,91,141699
SLC9A3,5,SLC9A3,473333,524549,14,92,105,141699
CEP72,5,CEP72,612404,653666,7,130,136,141699
TPPP,5,TPPP,659976,693510,10,139,148,141699
BRD9,5,BRD9,863855,892915,7,153,159,141699
TRIP13,5,TRIP13,893003,918160,4,160,163,141699
NKD2,5,NKD2,1009167,1038925,8,186,193,141699
SLC12A7,5,SLC12A7,1050488,1112172,29,196,224,141699
SLC6A19,5,SLC6A19,1201709,1225230,15,253,267,141699
SLC6A18,5,SLC6A18,1225469,1246304,11,268,278,141699
TERT,5,TERT,1253286,1295162,14,281,294,141699
CLPTM1L,5,CLPTM1L,1317999,1345002,6,304,309,141699
SLC6A3,5,SLC6A3,1392909,1445538,15,327,341,141699
LPCAT1,5,LPCAT1,1461541,1524076,26,344,369,141699
NDUFS6,5,NDUFS6,1801508,1816167,6,453,458,141699
IRX4,5,IRX4,1877540,1882880,2,482,483,141699
IRX2,5,IRX2,2746879,2751769,2,834,835,141699
IRX1,5,IRX1,3596167,3601517,2,1132,1133,141699
ADAMTS16,5,ADAMTS16,5140442,5320412,78,1529,1606,141699
KIAA0947,5,KIAA0947,5422806,5490338,11,1641,1651,141699
FLJ33360,5,FLJ33360,6310553,6337405,13,1877,1889,141699
NSUN2,5,NSUN2,6599351,6633157,12,1950,1961,141699
SRD5A1,5,SRD5A1,6633499,6669675,10,1962,1971,141699
POLS,5,POLS,6714717,6757161,7,1980,1986,141699
ADCY2,5,ADCY2,7396342,7830194,75,2109,2183,141699
FASTKD3,5,FASTKD3,7859271,7869115,4,2185,2188,141699
MTRR,5,MTRR,7869216,7901235,11,2189,2199,141699
SEMA5A,5,SEMA5A,9035137,9546233,146,2411,2556,141699
FAM173B,5,FAM173B,10226437,10250014,7,2731,2737,141699
CCT5,5,CCT5,10250281,10266501,4,2738,2741,141699
CMBL,5,CMBL,10277706,10308168,7,2744,2750,141699
MARCH6,5,MARCH6,10353827,10435491,9,2760,2768,141699
ROPN1L,5,ROPN1L,10442008,10465138,9,2769,2777,141699
DAP,5,DAP,10679341,10761387,12,2853,2864,141699
CTNND2,5,CTNND2,10971951,11904110,202,2913,3114,141699
DNAH5,5,DNAH5,13690436,13944589,71,3288,3358,141699
TRIO,5,TRIO,14143828,14509458,55,3416,3470,141699
FAM105A,5,FAM105A,14581931,14611205,4,3496,3499,141699
FAM105B,5,FAM105B,14664782,14699842,6,3507,3512,141699
ANKH,5,ANKH,14704908,14871887,43,3514,3556,141699
FBXL7,5,FBXL7,15500304,15939900,51,3648,3698,141699
MARCH11,5,MARCH11,16067473,16179897,16,3734,3749,141699
ZNF622,5,ZNF622,16451627,16465894,6,3792,3797,141699
FAM134B,5,FAM134B,16473146,16617118,33,3799,3831,141699
MYO10,5,MYO10,16662015,16936385,95,3849,3943,141699
BASP1,5,BASP1,17217749,17276943,18,4032,4049,141699
CDH18,5,CDH18,19473154,19981289,59,4390,4448,141699
CDH12,5,CDH12,21751153,22853731,140,4648,4787,141699
PRDM9,5,PRDM9,23507723,23528706,3,4877,4879,141699
CDH10,5,CDH10,24487209,24644911,43,5002,5044,141699
CDH9,5,CDH9,26880708,27038689,27,5342,5368,141699
CDH6,5,CDH6,31193795,31325237,24,5947,5970,141699
RNASEN,5,RNASEN,31400601,31532282,28,5993,6020,141699
C5orf22,5,C5orf22,31532372,31555165,3,6021,6023,141699
PDZD2,5,PDZD2,31799030,32111038,132,6121,6252,141699
GOLPH3,5,GOLPH3,32124823,32174425,7,6253,6259,141699
MTMR12,5,MTMR12,32227110,32313114,12,6266,6277,141699
ZFR,5,ZFR,32354455,32444844,12,6279,6290,141699
SUB1,5,SUB1,32585676,32602063,5,6319,6323,141699
NPR3,5,NPR3,32711664,32787254,14,6344,6357,141699
TARS,5,TARS,33440897,33468196,5,6454,6458,141699
ADAMTS12,5,ADAMTS12,33527286,33892124,79,6467,6545,141699
SLC45A2,5,SLC45A2,33944720,33984780,10,6556,6565,141699
AMACR,5,AMACR,33987899,34008206,9,6566,6574,141699
C1QTNF3,5,C1QTNF3,34017962,34043317,3,6577,6579,141699
RAI14,5,RAI14,34656517,34832717,50,6650,6699,141699
TTC23L,5,TTC23L,34839268,34899564,12,6702,6713,141699
RAD1,5,RAD1,34905365,34918382,4,6714,6717,141699
DNAJC21,5,DNAJC21,34929697,34959069,3,6720,6722,141699
AGXT2,5,AGXT2,34998205,35047999,15,6725,6739,141699
PRLR,5,PRLR,35064227,35230577,23,6743,6765,141699
SPEF2,5,SPEF2,35617988,35814713,40,6808,6847,141699
IL7R,5,IL7R,35856990,35876923,4,6856,6859,141699
CAPSL,5,CAPSL,35904397,35938881,7,6862,6868,141699
UGT3A1,5,UGT3A1,35953209,35991499,4,6870,6873,141699
UGT3A2,5,UGT3A2,36035123,36066984,9,6878,6886,141699
LMBRD2,5,LMBRD2,36103413,36152015,3,6892,6894,141699
SKP2,5,SKP2,36152188,36184147,10,6895,6904,141699
C5orf33,5,C5orf33,36192693,36242258,8,6906,6913,141699
RANBP3L,5,RANBP3L,36249103,36302004,4,6916,6919,141699
SLC1A3,5,SLC1A3,36606456,36688436,27,6998,7024,141699
NIPBL,5,NIPBL,36876860,37065921,11,7042,7052,141699
C5orf42,5,C5orf42,37106329,37213855,10,7053,7062,141699
NUP155,5,NUP155,37291940,37371197,5,7069,7073,141699
WDR70,5,WDR70,37379411,37752774,20,7074,7093,141699
GDNF,5,GDNF,37815752,37839782,7,7109,7115,141699
EGFLAM,5,EGFLAM,38258532,38465581,53,7225,7277,141699
LIFR,5,LIFR,38475064,38595507,14,7281,7294,141699
OSMR,5,OSMR,38846135,38934402,21,7349,7369,141699
RICTOR,5,RICTOR,38938022,39074501,13,7370,7382,141699
FYB,5,FYB,39105356,39219667,22,7388,7409,141699
C9,5,C9,39284377,39364655,17,7424,7440,141699
DAB2,5,DAB2,39371779,39425335,15,7441,7455,141699
PTGER4,5,PTGER4,40680031,40693837,2,7629,7630,141699
TTC33,5,TTC33,40711677,40756072,7,7632,7638,141699
PRKAA1,5,PRKAA1,40759480,40798297,3,7639,7641,141699
CARD6,5,CARD6,40841409,40855456,2,7649,7650,141699
C7,5,C7,40909598,40983041,14,7661,7674,141699
FLJ40243,5,FLJ40243,40998121,41071444,35,7678,7712,141699
C6,5,C6,41142335,41261540,15,7722,7736,141699
PLCXD3,5,PLCXD3,41307047,41510730,35,7748,7782,141699
OXCT1,5,OXCT1,41730166,41870791,11,7810,7820,141699
LOC285636,5,LOC285636,41904469,41921738,2,7823,7824,141699
GHR,5,GHR,42424025,42721926,37,7861,7897,141699
SEPP1,5,SEPP1,42799981,42812024,3,7901,7903,141699
ZNF131,5,ZNF131,43121641,43175823,7,7932,7938,141699
MGC42105,5,MGC42105,43192326,43280952,14,7940,7953,141699
HMGCS1,5,HMGCS1,43289492,43313595,4,7955,7958,141699
CCL28,5,CCL28,43381599,43412488,5,7966,7970,141699
PAIP1,5,PAIP1,43526369,43557487,2,7980,7981,141699
NNT,5,NNT,43602790,43705668,15,7983,7997,141699
FGF10,5,FGF10,44305096,44388784,11,8070,8080,141699
HCN1,5,HCN1,45259351,45696220,31,8164,8194,141699
EMB,5,EMB,49694474,49737201,2,8264,8265,141699
PARP8,5,PARP8,49962812,50138176,16,8287,8302,141699
PELO,5,PELO,52083773,52098452,3,8546,8548,141699
ITGA1,5,ITGA1,52084135,52249485,49,8547,8595,141699
ITGA2,5,ITGA2,52285155,52390609,20,8600,8619,141699
MOCS2,5,MOCS2,52393894,52405598,6,8620,8625,141699
NDUFS4,5,NDUFS4,52856464,52979171,12,8686,8697,141699
ARL15,5,ARL15,53180613,53606403,81,8724,8804,141699
HSPB3,5,HSPB3,53751444,53752207,2,8843,8844,141699
SNX18,5,SNX18,53813592,53842416,8,8855,8862,141699
ESM1,5,ESM1,54274142,54281410,3,8969,8971,141699
GZMK,5,GZMK,54320106,54329960,2,8979,8980,141699
CDC20B,5,CDC20B,54408822,54469003,11,8986,8996,141699
DHX29,5,DHX29,54552072,54603521,3,9009,9011,141699
SKIV2L2,5,SKIV2L2,54603575,54721409,9,9012,9020,141699
PPAP2A,5,PPAP2A,54720682,54830873,15,9021,9035,141699
SLC38A9,5,SLC38A9,54921677,55008095,8,9046,9053,141699
DDX4,5,DDX4,55034775,55112605,13,9060,9072,141699
IL31RA,5,IL31RA,55147333,55212981,13,9078,9090,141699
IL6ST,5,IL6ST,55236693,55290763,7,9095,9101,141699
ANKRD55,5,ANKRD55,55395506,55529186,32,9120,9151,141699
MAP3K1,5,MAP3K1,56110899,56191978,9,9317,9325,141699
C5orf35,5,C5orf35,56205102,56213013,3,9327,9329,141699
MIER3,5,MIER3,56215428,56247954,4,9331,9334,141699
GPBP1,5,GPBP1,56469774,56559412,8,9391,9398,141699
C5orf29,5,C5orf29,57787329,57792185,2,9590,9591,141699
RAB3C,5,RAB3C,57878938,58147406,53,9602,9654,141699
PDE4D,5,PDE4D,58264865,59189621,133,9675,9807,141699
DEPDC1B,5,DEPDC1B,59892738,59995956,6,9878,9883,141699
ELOVL7,5,ELOVL7,60047615,60140101,11,9890,9900,141699
ERCC8,5,ERCC8,60169658,60240905,2,9902,9903,141699
NDUFAF2,5,NDUFAF2,60240955,60448864,11,9904,9914,141699
FLJ37543,5,FLJ37543,60933635,61002362,19,9984,10002,141699
KIF2A,5,KIF2A,61601988,61682210,10,10094,10103,141699
IPO11,5,IPO11,61708593,61924409,17,10106,10122,141699
RNF180,5,RNF180,63461670,63668696,9,10314,10322,141699
RGS7BP,5,RGS7BP,63802451,63908121,25,10335,10359,141699
SFRS12IP1,5,SFRS12IP1,64013977,64064496,3,10374,10376,141699
SDCCAG10,5,SDCCAG10,64064754,64314590,21,10377,10397,141699
ADAMTS6,5,ADAMTS6,64444562,64777704,28,10416,10443,141699
CENPK,5,CENPK,64813592,64858995,11,10446,10456,141699
PPWD1,5,PPWD1,64859130,64883370,2,10457,10458,141699
TRIM23,5,TRIM23,64885506,64920187,3,10460,10462,141699
C5orf44,5,C5orf44,64920557,64961954,7,10463,10469,141699
SGTB,5,SGTB,64961754,65017941,6,10470,10475,141699
NLN,5,NLN,65018084,65119389,17,10476,10492,141699
ERBB2IP,5,ERBB2IP,65222383,65376850,11,10514,10524,141699
SFRS12,5,SFRS12,65440084,65476714,7,10533,10539,141699
MAST4,5,MAST4,65892175,66463092,104,10608,10711,141699
CD180,5,CD180,66478103,66492617,6,10712,10717,141699
PIK3R1,5,PIK3R1,67522461,67597649,15,10918,10932,141699
SLC30A5,5,SLC30A5,68389817,68425880,7,11070,11076,141699
CCNB1,5,CCNB1,68462912,68474070,2,11081,11082,141699
MRPS36,5,MRPS36,68513572,68525985,2,11083,11084,141699
CDK7,5,CDK7,68530621,68573257,5,11085,11089,141699
CCDC125,5,CCDC125,68576518,68616410,7,11090,11096,141699
TAF9,5,TAF9,68647552,68665840,3,11100,11102,141699
RAD17,5,RAD17,68665123,68710631,9,11102,11110,141699
MARVELD2,5,MARVELD2,68710942,68739836,4,11111,11114,141699
OCLN-1,5,OCLN-1,68788118,68850133,4,11123,11126,141699
BDP1,5,BDP1,70751441,70863649,17,11131,11147,141699
MCCC2,5,MCCC2,70883114,70954530,8,11151,11158,141699
MAP1B,5,MAP1B,71403117,71505397,31,11257,11287,141699
MRPS27,5,MRPS27,71515235,71616084,6,11290,11295,141699
PTCD2,5,PTCD2,71616199,71655180,3,11296,11298,141699
ZNF366,5,ZNF366,71739233,71803249,16,11305,11320,141699
TNPO1,5,TNPO1,72112417,72210215,4,11342,11345,141699
FCHO2,5,FCHO2,72251898,72386349,10,11348,11357,141699
TMEM171,5,TMEM171,72416401,72427641,2,11361,11362,141699
UTP15,5,UTP15,72861597,72877794,2,11462,11463,141699
RGNEF,5,RGNEF,72921982,73207528,63,11472,11534,141699
ENC1,5,ENC1,73923233,73937249,4,11726,11729,141699
HEXB,5,HEXB,73980968,74017113,10,11754,11763,141699
